text,labels,domain,source
"Russian Cosmonaut Valery Polyakov Who Broke Record With 437-Day Stay In Space Dies At 80 Polyakov's record-breaking trip to outer space saw him orbit Earth 7,075 times and travel nearly 187 million miles.",,WorldNews,huffpost
"In A Nod To JFK, Joe Biden Pushing 'Moonshot' To Fight Cancer Biden plans to draw attention to a new federally backed study that seeks to validate using blood tests to screen against multiple cancers.",,Politics,huffpost
"US, Trump Team Propose Names For Arbiter In Mar-A-Lago Probe The Justice Department proposed two retired judges for the role. Trump s team proposed a retired judge and a lawyer.",,Politics,huffpost
"The Unemployment Insurance System Is Not Ready For The Next Recession States are cutting back, and Congress is unlikely to step in even after the pandemic exposed the unemployment system's shortcomings.",,Politics,huffpost
"Dan Goldman, Narrowly Leading In New York Democratic Primary, Declares Victory But the congressional race has not been officially called, and rival Yuh-Line Niou declined to concede.",,Politics,huffpost
UK Broadcaster To Air Satirical Musical On Prince Andrew The 60-minute program described as a satirical send-up of the life and times of the duke set to a musical score.,,WorldNews,huffpost
Talks On Possible Watson Settlement Progress Two people familiar with the negotiations tell the AP that talks between the NFL and NFL Players Association on a discipline settlement for Cleveland Browns quarterback Deshaun Watson have progressed.,,Sports,huffpost
"Iran Denies Involvement But Justifies Salman Rushdie Attack While Iran hasn t focused on the writer in recent years, a decades-old fatwa demanding his killing still stands.",,WorldNews,huffpost
"Salman Rushdie 'On The Road To Recovery,' Agent Says The author's agent said he is on the road to recovery two days after suffering serious injuries in a stabbing at a lecture in upstate New York.",,WorldNews,huffpost
"Sinema Took Wall Street Money While Killing Tax On Investors Democratic Sen. Kyrsten Sinema of Arizona has received nearly 1 million in campaign contributions over the past year from private equity professionals, hedge fund managers and venture capitalists whose interests she has staunchly defended in Congress.",,Politics,huffpost
Challenger Suraj Patel s Poll Shows Tightening Race In Key New York Primary Patel is taking on Reps. Carolyn Maloney and Jerry Nadler for the Democratic nomination in a Manhattan congressional district.,,Politics,huffpost
"Vulnerable House Dems See Abortion As Winning Campaign Theme The Supreme Court decision on abortion has scrambled the political dynamics heading into the November elections, when control of Congress is at stake.",,Politics,huffpost
"Rain Cascades From Vegas Casino Ceilings As Thunderstorms Flood Desert Parts of the parched southwest are now being hit with floods, with multiple people needing rescue in Nevada and Arizona.",,Environment,huffpost
"DHS Watchdog Fails To Notify Congress Over Missing Jan. 6 Texts Of 2 Trump Officials The phones of Homeland Security leaders Chad Wolf and Ken Cuccinelli reportedly were wiped, much like those of Trump's Secret Service agents.",,Politics,huffpost
"Steve Bannon Calls On '4,000 Shock Troops' To 'Deconstruct' The Government 'Brick By Brick' He's back with more incendiary rhetoric against the nation just days after his contempt of Congress conviction.",,Politics,huffpost
Josh Hawley's Home State Newspaper Chides Him As 'Laughingstock' Hawley's been widely ridiculed since video showed him fleeing Capitol rioters not long after saluting them.,,Politics,huffpost
Biden Takes Modest Executive Action After Climate Agenda Stalls In Congress The executive push includes 2.3 billion in climate resilience funding and a first step toward opening the Gulf of Mexico to offshore wind development.,,Politics,huffpost
4 Killed After Gunman Opens Fire In Indiana Mall Food Court Police said a man with a rifle opened fire in a food court and an armed civilian shot him. 2 others were injured.,,Politics,huffpost
"Trump-Supporting GOP Congressman Faces Election Fraud Accusations Rep. Lee Zeldin R-N.Y. , who is running for governor in the fall, is accused of submitting photocopied signatures to get a line on the ballot.",,Politics,huffpost
"Rep. Marjorie Taylor Greene Tells Reporter To Go Back To Your Country You have mass stabbings, lady, the GOP congresswoman told a reporter who compared U.K. gun statistics to those in the U.S.",,Politics,huffpost
NFL Seeks Arbitration For Flores' Racial Discrimination Suit The NFL and six of its teams have filed for arbitration in the lawsuit that alleges they engaged in racial discrimination.,,Sports,huffpost
"After Defying Trump, GOP Rep. Tom Rice Loses Reelection In South Carolina The congressman was one of 10 House GOP members who voted in favor of impeaching Trump after the U.S. Capitol riot.",,Politics,huffpost
Why Biden Is Giving Gun Control Negotiators Some Space A president who boasted of his deal-making abilities has backed away from day-to-day congressional action on key issues.,,Politics,huffpost
